"Sex"	"Item Name"	"Area"	"date"	"value type"	"value"	"flag"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 3 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 4 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 5 - Aberdeen"	"May 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"June 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"June 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"July 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"July 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"August 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"August 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"September 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"September 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"October 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"October 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"November 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"November 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"December 2017"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"December 2017"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"June 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"June 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"July 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"July 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"August 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"August 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"September 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"September 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"October 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"October 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"November 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"November 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"December 2018"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"December 2018"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"June 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"June 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"July 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"July 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"August 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"August 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"September 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"September 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"October 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"October 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"November 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"November 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"December 2019"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"December 2019"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"January 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"February 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"March 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"April 2020"	"rate"		"-"
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2020"	"number"	#	""
"Total"	"Total claimants"	"ps:AB 1 6 - Aberdeen"	"May 2020"	"rate"		"-"
